COALICION,descripcion_candidatura
Izquierda, "Autodeterminación.y.Libertad"
Izquierda, "Frente.de.Izquierda.y.los.Trabajadores"
FdT, "Frente.de.Todos"
JxC, "Juntos.por.el.Cambio"
LLA, "La.libertad.avanza"
Otros,"EN.BLANCO"
Otros,"NULOS"
Otros,"RECURRIDOS"
Otros,"IMPUGNADOS"
Otros,"TOTALES"
