COMUNA;CIRCUITO;Autodeterminación y Libertad;Juntos por el Cambio;Frente de Todos;Frente de Izquierda y los Trabajadores;La libertad avanza;EN BLANCO;NULOS;RECURRIDOS;IMPUGNADOS;TOTALES
11;117;553;6406;3441;1204;2226;170;197;0;0;14197
11;118;379;5415;2431;827;1766;128;120;0;0;11066
11;119;531;6603;3109;1080;2319;175;170;0;0;13987
11;120;495;7243;2980;995;2648;170;181;0;0;14712
11;121;421;5636;2626;753;2246;135;194;0;0;12011
11;122;282;5879;1675;560;1963;103;132;0;0;10594
11;123;387;5422;2387;771;1970;114;160;0;0;11211
12;124;468;5450;3455;994;1977;133;182;0;0;12659
12;125;618;7834;3946;1331;2782;203;239;0;0;16953
12;126;488;6337;3370;1154;2332;176;163;0;0;14020
12;127;549;10269;3417;1314;3092;205;226;0;0;19072
12;128;506;7448;3524;1299;2429;188;183;0;0;15577
12;129;651;9853;4261;1566;3060;233;236;0;0;19860
12;130;450;6680;2980;1123;2024;143;159;0;0;13559
12;131;149;2044;1016;315;744;48;51;0;0;4367
12;132;473;6933;3895;1177;2650;192;200;0;0;15520
12;133;471;7801;3430;1198;2478;183;179;0;0;15740
13;134;172;3584;1104;432;1060;90;54;0;0;6496
13;135;206;5113;1570;592;1459;98;95;0;0;9133
13;136;348;5756;2063;841;1713;151;118;0;0;10990
13;137;283;5552;2055;851;1678;129;101;0;0;10649
13;138;511;12511;3313;1366;3343;250;213;0;0;21507
13;139;360;7974;1993;884;2160;159;105;0;0;13635
13;140;154;3512;1087;448;1034;68;56;0;0;6359
13;141;256;6206;1637;660;1893;103;88;0;0;10843
13;142;239;12216;1575;726;3121;190;98;0;0;18165
13;143;306;8014;1990;825;2044;148;100;0;0;13427
13;144;135;3639;769;375;1009;72;64;0;0;6063
13;145;374;5637;2610;1100;1663;161;142;0;0;11687
13;146;283;3912;2144;765;1295;93;107;0;0;8599
13;147;372;8905;2289;984;2367;153;124;0;0;15194
14;148;302;10212;2093;858;2785;189;132;0;0;16571
14;149;324;11623;2229;810;3316;207;132;0;0;18641
14;150;91;6548;684;258;1800;72;37;0;0;9490
14;151;291;12301;2190;886;3185;175;132;0;0;19160
14;152;271;8994;1961;799;2241;166;116;0;0;14548
14;153;491;9221;3288;1226;2546;216;172;0;0;17160
14;154;547;9927;4076;1537;2655;205;237;0;0;19184
14;155;497;8444;3976;1366;2768;227;196;0;0;17474
14;156;236;3108;1883;720;1003;90;79;0;0;7119
14;157;389;5271;3075;1164;1633;141;143;0;0;11816
15;158;662;6359;3760;1439;1898;184;173;0;0;14475
15;159;389;3680;2524;900;1201;117;115;0;0;8926
15;160;821;7502;4301;1596;2222;218;235;0;0;16895
15;161;681;6024;4077;1456;2190;182;176;0;0;14786
15;162;456;4426;3771;1172;1863;170;179;0;0;12037
15;163;333;3260;2988;944;1255;124;115;0;0;9019
15;164;301;3496;2486;873;1221;118;134;0;0;8629
15;165;518;6639;3761;1417;2201;198;175;0;0;14909
15;166;448;5193;3592;1179;1957;168;163;0;0;12700
15;167;379;4621;2425;910;1578;105;122;0;0;10140
